ToyId,ElfId,StartTime,Duration
206,14,2014 1 1 12 54,14
494,3,2014 1 1 12 55,14
190,13,2014 1 1 12 55,7
256,11,2014 1 1 12 56,17
173,7,2014 1 1 12 57,27
304,2,2014 1 1 12 59,21
196,13,2014 1 1 13 2,28
207,14,2014 1 1 13 8,20
487,3,2014 1 1 13 9,2
493,3,2014 1 1 13 11,12
409,17,2014 1 1 13 11,84
252,11,2014 1 1 13 13,7
435,12,2014 1 1 13 14,52
46,16,2014 1 1 13 16,19
311,10,2014 1 1 13 18,54
17,2,2014 1 1 13 20,6
276,11,2014 1 1 13 20,7
490,3,2014 1 1 13 23,7
181,7,2014 1 1 13 24,77
19,2,2014 1 1 13 26,12
275,11,2014 1 1 13 27,2
205,14,2014 1 1 13 28,11
278,11,2014 1 1 13 29,8
446,18,2014 1 1 13 29,11
488,3,2014 1 1 13 30,3
192,13,2014 1 1 13 30,11
496,3,2014 1 1 13 33,65
41,16,2014 1 1 13 35,7
479,1,2014 1 1 13 36,24
274,11,2014 1 1 13 37,2
21,2,2014 1 1 13 38,17
280,11,2014 1 1 13 39,45
203,14,2014 1 1 13 39,10
444,18,2014 1 1 13 40,4
184,13,2014 1 1 13 41,2
366,16,2014 1 1 13 42,44
197,13,2014 1 1 13 43,50
449,18,2014 1 1 13 44,23
245,15,2014 1 1 13 46,27
217,14,2014 1 1 13 49,20
337,5,2014 1 1 13 53,65
24,2,2014 1 1 13 55,65
113,8,2014 1 1 13 55,10
475,1,2014 1 1 14 0,9
497,8,2014 1 1 14 5,1
500,8,2014 1 1 14 6,7
429,12,2014 1 1 14 6,10
450,18,2014 1 1 14 7,39
481,1,2014 1 1 14 9,33
214,14,2014 1 1 14 9,11
308,10,2014 1 1 14 12,13
498,8,2014 1 1 14 13,1
243,15,2014 1 1 14 13,17
499,8,2014 1 1 14 14,6
434,12,2014 1 1 14 16,18
57,8,2014 1 1 14 20,9
212,14,2014 1 1 14 20,4
273,11,2014 1 1 14 24,2
218,14,2014 1 1 14 24,20
128,10,2014 1 1 14 25,9
272,11,2014 1 1 14 26,1
353,16,2014 1 1 14 26,2
281,11,2014 1 1 14 27,145
356,16,2014 1 1 14 28,4
59,8,2014 1 1 14 29,11
285,4,2014 1 1 14 30,7
242,15,2014 1 1 14 30,17
352,16,2014 1 1 14 32,2
261,13,2014 1 1 14 33,4
135,10,2014 1 1 14 34,19
424,12,2014 1 1 14 34,1
360,16,2014 1 1 14 34,12
428,12,2014 1 1 14 35,9
405,17,2014 1 1 14 35,18
289,4,2014 1 1 14 37,20
266,13,2014 1 1 14 37,29
486,3,2014 1 1 14 38,2
492,3,2014 1 1 14 40,10
62,8,2014 1 1 14 40,26
172,7,2014 1 1 14 41,26
468,1,2014 1 1 14 42,1
470,1,2014 1 1 14 43,2
432,12,2014 1 1 14 44,16
215,14,2014 1 1 14 44,14
478,1,2014 1 1 14 45,11
351,16,2014 1 1 14 46,2
110,18,2014 1 1 14 46,29
248,15,2014 1 1 14 47,47
354,16,2014 1 1 14 48,3
495,3,2014 1 1 14 50,27
363,16,2014 1 1 14 51,27
124,10,2014 1 1 14 53,3
399,17,2014 1 1 14 53,4
482,1,2014 1 1 14 56,34
132,10,2014 1 1 14 56,11
284,4,2014 1 1 14 57,4
403,17,2014 1 1 14 57,9
338,5,2014 1 1 14 58,88
220,14,2014 1 1 14 58,100
16,2,2014 1 1 15 0,5
430,12,2014 1 1 15 0,11
88,4,2014 1 1 15 1,16
14,2,2014 1 1 15 5,4
55,8,2014 1 1 15 6,6
264,13,2014 1 1 15 6,19
407,17,2014 1 1 15 6,40
176,7,2014 1 1 15 7,32
136,10,2014 1 1 15 7,21
15,2,2014 1 1 15 9,5
426,12,2014 1 1 15 11,4
52,8,2014 1 1 15 12,2
18,2,2014 1 1 15 14,12
61,8,2014 1 1 15 14,18
436,12,2014 1 1 15 15,53
109,18,2014 1 1 15 15,6
491,3,2014 1 1 15 17,9
85,4,2014 1 1 15 17,7
365,16,2014 1 1 15 18,31
149,18,2014 1 1 15 21,18
92,4,2014 1 1 15 24,24
269,13,2014 1 1 15 25,45
22,2,2014 1 1 15 26,18
234,3,2014 1 1 15 26,33
134,10,2014 1 1 15 28,15
473,1,2014 1 1 15 30,4
56,8,2014 1 1 15 32,6
477,1,2014 1 1 15 34,11
246,15,2014 1 1 15 34,44
53,8,2014 1 1 15 38,2
167,7,2014 1 1 15 39,3
148,18,2014 1 1 15 39,16
64,8,2014 1 1 15 40,109
171,7,2014 1 1 15 42,19
125,10,2014 1 1 15 43,4
11,2,2014 1 1 15 44,2
484,1,2014 1 1 15 45,44
20,2,2014 1 1 15 46,14
400,17,2014 1 1 15 46,4
97,6,2014 1 1 15 47,4
131,10,2014 1 1 15 47,10
89,4,2014 1 1 15 48,15
357,16,2014 1 1 15 49,7
398,17,2014 1 1 15 50,4
99,6,2014 1 1 15 51,5
404,17,2014 1 1 15 54,12
143,18,2014 1 1 15 55,7
103,6,2014 1 1 15 56,28
358,16,2014 1 1 15 56,7
127,10,2014 1 1 15 57,5
230,3,2014 1 1 15 59,14
12,2,2014 1 1 16 0,3
174,7,2014 1 1 16 1,28
130,10,2014 1 1 16 2,10
144,18,2014 1 1 16 2,8
23,2,2014 1 1 16 3,45
82,4,2014 1 1 16 3,3
355,16,2014 1 1 16 3,4
389,9,2014 1 1 16 5,24
91,4,2014 1 1 16 6,22
402,17,2014 1 1 16 6,6
368,16,2014 1 1 16 7,54
427,12,2014 1 1 16 8,5
258,13,2014 1 1 16 10,1
155,18,2014 1 1 16 10,138
268,13,2014 1 1 16 11,33
140,10,2014 1 1 16 12,84
408,17,2014 1 1 16 12,44
223,3,2014 1 1 16 13,5
341,12,2014 1 1 16 13,4
348,12,2014 1 1 16 17,29
225,3,2014 1 1 16 18,7
238,15,2014 1 1 16 18,4
241,15,2014 1 1 16 22,7
104,6,2014 1 1 16 24,29
226,3,2014 1 1 16 25,7
335,5,2014 1 1 16 26,14
83,4,2014 1 1 16 28,4
483,1,2014 1 1 16 29,38
177,7,2014 1 1 16 29,36
393,9,2014 1 1 16 29,54
247,15,2014 1 1 16 29,43
235,3,2014 1 1 16 32,42
84,4,2014 1 1 16 32,6
87,4,2014 1 1 16 38,12
219,14,2014 1 1 16 38,48
332,5,2014 1 1 16 40,5
263,13,2014 1 1 16 44,11
334,5,2014 1 1 16 45,7
345,12,2014 1 1 16 46,12
13,2,2014 1 1 16 48,3
93,4,2014 1 1 16 50,38
25,2,2014 1 1 16 51,95
333,5,2014 1 1 16 52,6
279,11,2014 1 1 16 52,16
100,6,2014 1 1 16 53,6
267,13,2014 1 1 16 55,31
396,17,2014 1 1 16 56,2
331,5,2014 1 1 16 58,2
343,12,2014 1 1 16 58,6
401,17,2014 1 1 16 58,5
101,6,2014 1 1 16 59,9
336,5,2014 1 1 17 0,18
367,16,2014 1 1 17 1,46
443,17,2014 1 1 17 3,4
339,12,2014 1 1 17 4,1
182,7,2014 1 1 17 5,254
346,12,2014 1 1 17 5,14
480,1,2014 1 1 17 7,29
452,17,2014 1 1 17 7,46
105,6,2014 1 1 17 8,35
277,11,2014 1 1 17 8,7
239,15,2014 1 1 17 12,6
222,3,2014 1 1 17 14,3
372,11,2014 1 1 17 15,5
236,3,2014 1 1 17 17,84
27,5,2014 1 1 17 18,5
237,15,2014 1 1 17 18,3
342,12,2014 1 1 17 19,4
371,11,2014 1 1 17 20,3
240,15,2014 1 1 17 21,6
31,5,2014 1 1 17 23,9
392,9,2014 1 1 17 23,39
370,11,2014 1 1 17 23,3
340,12,2014 1 1 17 23,2
344,12,2014 1 1 17 25,7
373,11,2014 1 1 17 26,8
259,13,2014 1 1 17 26,1
211,14,2014 1 1 17 26,2
270,13,2014 1 1 17 27,56
244,15,2014 1 1 17 27,19
86,4,2014 1 1 17 28,7
213,14,2014 1 1 17 28,9
63,8,2014 1 1 17 29,33
29,5,2014 1 1 17 32,7
350,12,2014 1 1 17 32,49
375,11,2014 1 1 17 34,11
94,4,2014 1 1 17 35,48
476,1,2014 1 1 17 36,10
126,10,2014 1 1 17 36,4
209,14,2014 1 1 17 37,1
216,14,2014 1 1 17 38,17
26,5,2014 1 1 17 39,1
28,5,2014 1 1 17 40,6
129,10,2014 1 1 17 40,9
98,6,2014 1 1 17 43,5
374,11,2014 1 1 17 45,8
418,1,2014 1 1 17 46,14
30,5,2014 1 1 17 46,8
36,15,2014 1 1 17 46,3
359,16,2014 1 1 17 47,11
96,6,2014 1 1 17 48,3
138,10,2014 1 1 17 49,27
40,15,2014 1 1 17 49,6
102,6,2014 1 1 17 51,23
376,11,2014 1 1 17 53,12
448,17,2014 1 1 17 53,21
33,5,2014 1 1 17 54,54
210,14,2014 1 1 17 55,2
45,15,2014 1 1 17 55,11
321,14,2014 1 1 17 57,6
364,16,2014 1 1 17 58,29
417,1,2014 1 1 18 0,13
54,8,2014 1 1 18 2,3
388,9,2014 1 1 18 2,21
322,14,2014 1 1 18 3,7
58,8,2014 1 1 18 5,10
377,11,2014 1 1 18 5,19
39,15,2014 1 1 18 6,5
318,14,2014 1 1 18 10,5
44,15,2014 1 1 18 11,9
419,1,2014 1 1 18 13,15
106,6,2014 1 1 18 14,132
453,17,2014 1 1 18 14,66
60,8,2014 1 1 18 15,17
327,14,2014 1 1 18 15,19
137,10,2014 1 1 18 16,25
43,15,2014 1 1 18 20,8
349,12,2014 1 1 18 21,31
90,4,2014 1 1 18 23,20
394,9,2014 1 1 18 23,105
265,13,2014 1 1 18 23,21
378,11,2014 1 1 18 24,61
5,2,2014 1 1 18 26,5
362,16,2014 1 1 18 27,17
412,1,2014 1 1 18 28,4
37,15,2014 1 1 18 28,3
142,18,2014 1 1 18 28,3
1,2,2014 1 1 18 31,5
35,15,2014 1 1 18 31,1
153,18,2014 1 1 18 31,63
411,1,2014 1 1 18 32,3
385,8,2014 1 1 18 32,13
49,15,2014 1 1 18 32,44
320,14,2014 1 1 18 34,5
416,1,2014 1 1 18 35,5
4,2,2014 1 1 18 36,5
316,14,2014 1 1 18 39,2
415,1,2014 1 1 18 40,5
6,2,2014 1 1 18 41,10
232,3,2014 1 1 18 41,24
141,10,2014 1 1 18 41,88
324,14,2014 1 1 18 41,9
156,4,2014 1 1 18 43,3
260,13,2014 1 1 18 44,2
361,16,2014 1 1 18 44,11
420,1,2014 1 1 18 45,19
384,8,2014 1 1 18 45,12
159,4,2014 1 1 18 46,8
262,13,2014 1 1 18 46,8
32,5,2014 1 1 18 48,10
315,14,2014 1 1 18 50,2
7,2,2014 1 1 18 51,14
347,12,2014 1 1 18 52,19
330,14,2014 1 1 18 52,64
158,4,2014 1 1 18 54,5
271,13,2014 1 1 18 54,99
369,16,2014 1 1 18 55,71
380,8,2014 1 1 18 57,4
34,5,2014 1 1 18 58,97
157,4,2014 1 1 18 59,5
