ToyId,Arrival_time,Duration
439,2014 1 1 0 36,86
440,2014 1 1 0 37,3
441,2014 1 1 0 37,3
442,2014 1 1 0 37,3
443,2014 1 1 0 37,4
444,2014 1 1 0 37,4
445,2014 1 1 0 37,7
446,2014 1 1 0 37,11
447,2014 1 1 0 37,12
448,2014 1 1 0 37,25
449,2014 1 1 0 37,25
450,2014 1 1 0 37,43
451,2014 1 1 0 37,48
452,2014 1 1 0 37,54
453,2014 1 1 0 37,79
454,2014 1 1 0 37,86
455,2014 1 1 0 37,114
456,2014 1 1 0 38,3
457,2014 1 1 0 38,4
458,2014 1 1 0 38,5
459,2014 1 1 0 38,6
460,2014 1 1 0 38,6
461,2014 1 1 0 38,8
462,2014 1 1 0 38,11
463,2014 1 1 0 38,13
464,2014 1 1 0 38,14
465,2014 1 1 0 38,14
466,2014 1 1 0 38,16
467,2014 1 1 0 38,23
468,2014 1 1 0 39,1
469,2014 1 1 0 39,2
470,2014 1 1 0 39,2
471,2014 1 1 0 39,3
472,2014 1 1 0 39,3
473,2014 1 1 0 39,4
474,2014 1 1 0 39,4
475,2014 1 1 0 39,9
476,2014 1 1 0 39,11
477,2014 1 1 0 39,12
478,2014 1 1 0 39,12
479,2014 1 1 0 39,26
480,2014 1 1 0 39,34
481,2014 1 1 0 39,36
482,2014 1 1 0 39,38
483,2014 1 1 0 39,44
484,2014 1 1 0 39,50
485,2014 1 1 0 39,108
486,2014 1 1 0 40,2
487,2014 1 1 0 40,2
488,2014 1 1 0 40,3
489,2014 1 1 0 40,5
490,2014 1 1 0 40,7
491,2014 1 1 0 40,10
492,2014 1 1 0 40,11
493,2014 1 1 0 40,13
494,2014 1 1 0 40,15
495,2014 1 1 0 40,30
496,2014 1 1 0 40,71
497,2014 1 1 0 41,1
498,2014 1 1 0 41,1
499,2014 1 1 0 41,6
500,2014 1 1 0 41,7
